id,flight,date,fromS,toD,begindate,enddate,time,price,price_Predict,punc_Rate,Duration
3270,东方航空,2020/5/2,上海虹桥国际机场T2,长沙黄花国际机场T2,13:55,16:00,2:05:00,1260,803.4814962,0.93,125
3273,中国国航,2020/6/3,上海浦东国际机场T2,大庆萨尔图机场,6:40,9:40,3:00:00,400,737.5727586,0.97,180
3279,吉祥航空,2020/5/2,上海浦东国际机场T2,东营胜利机场,7:55,9:55,2:00:00,350,708.5196933,0.98,120
3283,上海航空,2020/5/1,上海浦东国际机场T1,大连周水子国际机场,10:30,12:25,1:55:00,730,738.6184062,0.97,115
3284,东方航空,2020/5/1,上海浦东国际机场T1,大连周水子国际机场,10:30,12:25,1:55:00,730,738.6225957,0.97,115
3294,东方航空,2020/5/2,上海虹桥国际机场T2,福州长乐国际机场,6:55,8:25,1:30:00,830,871.84577,1,90
3311,东方航空,2020/5/3,上海浦东国际机场T1,赣州黄金机场T2,7:50,9:45,1:55:00,400,358.6905108,1,115
3318,上海航空,2020/5/1,上海虹桥国际机场T2,贵阳龙洞堡国际机场T2,12:15,15:10,2:55:00,1080,1029.864168,1,175
3329,东方航空,2020/5/4,上海浦东国际机场T1,邯郸机场,6:35,8:45,2:10:00,370,387.0205067,0.93,130
3341,东方航空,2020/5/1,上海虹桥国际机场T2,海口美兰国际机场,9:20,13:50,4:30:00,950,1070.761747,0.97,270
3345,南方航空,2020/5/1,上海浦东国际机场T2,海口美兰国际机场,12:40,15:45,3:05:00,860,1049.699782,1,185
3350,东方航空,2020/5/1,上海浦东国际机场T1,海口美兰国际机场,15:50,19:05,3:15:00,860,866.5881991,0.98,195
3353,南方航空,2020/5/3,上海浦东国际机场T2,哈尔滨太平国际机场T2,14:05,17:05,3:00:00,150,509.4484841,0.95,180
3358,东方航空,2020/5/19,上海浦东国际机场T1,衡阳南岳机场,11:25,13:35,2:10:00,275,324.9559661,0.98,130
3359,上海航空,2020/5/6,上海虹桥国际机场T2,鸡西兴凯湖机场,6:45,11:40,4:55:00,1065,719.8367122,1,295
3367,东方航空,2020/5/7,上海浦东国际机场T1,济南遥墙国际机场,10:20,12:15,1:55:00,290,413.5220639,1,115
3368,中国国航,2020/5/1,上海虹桥国际机场T2,济南遥墙国际机场,19:35,21:30,1:55:00,690,617.3159909,1,115
3373,东方航空,2020/5/1,上海虹桥国际机场T2,揭阳潮汕机场,11:50,13:50,2:00:00,920,903.6504881,1,120
3379,南方航空,2020/5/2,上海虹桥国际机场T2,喀什机场,8:25,17:10,8:45:00,1880,1394.664339,0.98,525
3380,南方航空,2020/5/1,上海虹桥国际机场T2,喀什机场,8:55,17:25,8:30:00,1880,1517.222202,0.98,510
3381,吉祥航空,2020/6/1,上海虹桥国际机场T2,昆明长水国际机场,6:45,11:20,4:35:00,290,809.2936695,0.98,275
3382,南方航空,2020/5/2,上海浦东国际机场T2,昆明长水国际机场,7:25,11:10,3:45:00,560,1152.840308,0.98,225
3388,东方航空,2020/5/2,上海虹桥国际机场T2,昆明长水国际机场,8:30,12:05,3:35:00,1440,1152.095228,0.97,215
3411,上海航空,2020/6/22,上海浦东国际机场T1,绵阳南郊机场,7:15,10:40,3:25:00,725,628.1192929,1,205
3412,东方航空,2020/6/21,上海浦东国际机场T1,绵阳南郊机场,7:15,10:40,3:25:00,725,608.9169854,1,205
3420,南方航空,2020/5/1,上海浦东国际机场T2,南宁吴圩国际机场T2,12:25,15:40,3:15:00,760,988.1937724,0.97,195
3426,吉祥航空,2020/5/7,上海浦东国际机场T2,南宁吴圩国际机场T2,15:35,20:20,4:45:00,275,444.172727,0.98,285
3427,吉祥航空,2020/5/7,上海浦东国际机场T2,南宁吴圩国际机场T2,15:45,20:50,5:05:00,275,497.5339671,0.98,305
3429,东方航空,2020/5/29,上海浦东国际机场T1,南充高坪机场,8:55,11:55,3:00:00,355,531.0836558,1,180
3439,东方航空,2020/5/1,上海浦东国际机场T1,青岛流亭国际机场T2,10:40,12:20,1:40:00,550,750.7471051,0.98,100
3448,厦门航空,2020/5/1,上海浦东国际机场T2,泉州晋江机场,19:55,21:45,1:50:00,650,587.3570527,0.93,110
3460,吉祥航空,2020/5/1,上海虹桥国际机场T2,三亚凤凰国际机场T1,12:30,15:40,3:10:00,1260,1333.561511,0.97,190
3471,东方航空,2020/5/2,上海浦东国际机场T1,沈阳桃仙国际机场T3,9:00,11:25,2:25:00,1180,968.2475471,1,145
3474,上海航空,2020/5/1,上海虹桥国际机场T2,沈阳桃仙国际机场T3,16:25,19:00,2:35:00,910,871.28336,0.98,155
3480,厦门航空,2020/5/2,上海虹桥国际机场T1,石家庄正定国际机场T2,14:05,16:10,2:05:00,720,784.2288697,0.98,125
3481,河北航空,2020/5/2,上海虹桥国际机场T1,石家庄正定国际机场T2,14:05,16:10,2:05:00,702,693.5988612,0.98,125
3485,河北航空,2020/5/2,上海浦东国际机场T2,石家庄正定国际机场T2,20:35,22:55,2:20:00,251,443.3390115,0.93,140
3487,吉祥航空,2020/5/4,上海虹桥国际机场T2,太原武宿国际机场T2,6:45,9:10,2:25:00,350,445.4197769,1,145
3505,上海航空,2020/5/2,上海虹桥国际机场T2,天津滨海国际机场T2,15:55,18:15,2:20:00,850,814.7457851,0.98,140
3510,吉祥航空,2020/5/19,上海浦东国际机场T2,铜仁凤凰机场,15:45,18:30,2:45:00,537,446.2711871,0.96,165
3514,东方航空,2020/5/11,上海浦东国际机场T1,万州五桥机场,7:55,10:40,2:45:00,420,582.2413417,0.93,165
3520,南方航空,2020/5/1,上海虹桥国际机场T2,乌鲁木齐地窝堡国际机场T3,8:55,14:05,5:10:00,1390,1157.309522,0.97,310
3523,上海航空,2020/5/1,上海虹桥国际机场T2,乌鲁木齐地窝堡国际机场T2,14:10,19:20,5:10:00,1080,1033.019431,0.95,310
3535,南方航空,2020/5/2,上海浦东国际机场T2,武汉天河国际机场T3,18:10,20:05,1:55:00,940,560.414546,1,115
3558,东方航空,2020/5/4,上海虹桥国际机场T2,厦门高崎国际机场T4,11:00,12:45,1:45:00,170,262.3475377,1,105
3567,中国国航,2020/6/18,上海浦东国际机场T2,锡林浩特机场,12:45,17:50,5:05:00,400,533.1628353,0.98,305
3580,山东航空,2020/5/1,上海虹桥国际机场T2,烟台蓬莱国际机场,14:35,16:25,1:50:00,500,713.6486603,1,110
3595,东方航空,2020/5/6,上海浦东国际机场T1,延吉朝阳川机场,15:15,18:15,3:00:00,530,507.8372592,1,180
3598,东方航空,2020/5/25,上海浦东国际机场T1,宜宾五粮液机场,15:55,19:30,3:35:00,625,526.5523698,1,215
3600,金鹏航空,2020/5/3,上海浦东国际机场T2,珠海金湾机场,6:40,9:40,3:00:00,150,282.6565245,1,180
3618,东方航空,2020/5/1,上海虹桥国际机场T2,郑州新郑国际机场T2,15:20,17:30,2:10:00,700,782.4395384,0.98,130
3629,四川航空,2020/5/1,神农架红坪机场,武汉天河国际机场T3,13:25,14:30,1:05:00,240,412.359622,0.98,65
3630,华夏航空,2020/5/2,石河子花园机场,阿克苏机场,12:05,15:35,3:30:00,420,1046.869096,1,210
3634,中国联合航空,2020/6/6,三明沙县机场,北京大兴国际机场,13:30,16:10,2:40:00,403,562.905496,0.88,160
3635,华夏航空,2020/5/11,三明沙县机场,重庆江北国际机场T2,11:45,14:00,2:15:00,260,522.8666984,0.89,135
3638,成都航空,2020/5/10,上饶三清山机场,成都双流国际机场T2,20:20,22:55,2:35:00,540,489.3327867,0.98,155
3639,中国联合航空,2020/5/1,上饶三清山机场,惠州平潭机场,20:25,22:10,1:45:00,378,507.4825286,1,105
3641,中国国航,2020/5/1,上饶三清山机场,青岛流亭国际机场T1,15:40,17:35,1:55:00,510,682.5175528,0.95,115
3645,深圳航空,2020/5/24,上饶三清山机场,三亚凤凰国际机场T2,9:55,12:25,2:30:00,782,555.2245918,0.96070153,150
3648,深圳航空,2020/5/1,上饶三清山机场,深圳宝安国际机场T3,10:20,12:00,1:40:00,751,575.8576118,0.97,100
3652,山东航空,2020/6/14,武夷山机场,青岛流亭国际机场T1,15:05,17:15,2:10:00,910,703.3949631,0.98,130
3657,山东航空,2020/5/1,武夷山机场,西安咸阳国际机场T2,10:50,13:30,2:40:00,520,1039.997554,0.88,160
3658,西藏航空,2020/5/1,武夷山机场,西安咸阳国际机场T2,10:50,13:30,2:40:00,730,1020.218918,0.88,160
3660,山东航空,2020/5/7,武夷山机场,厦门高崎国际机场T4,15:50,16:45,0:55:00,230,305.5790749,0.86,55
3662,山东航空,2020/5/7,武夷山机场,厦门高崎国际机场T4,17:45,18:50,1:05:00,230,278.3456148,0.86,65
3671,东方航空,2020/5/23,梧州西江机场,西安咸阳国际机场T3,23:20,1:50,2:30:00,395,413.0254097,0.98,150
3673,四川航空,2020/5/3,武汉天河国际机场T3,重庆江北国际机场T2,15:20,16:55,1:35:00,740,349.2543135,0.97,95
3675,华夏航空,2020/5/2,武汉天河国际机场T3,重庆江北国际机场T2,20:25,23:50,3:25:00,300,451.6343123,0.91,205
3679,南方航空,2020/5/7,武汉天河国际机场T3,成都双流国际机场T2,7:50,9:50,2:00:00,360,421.9472238,1,120
3681,东方航空,2020/7/16,武汉天河国际机场T3,成都双流国际机场T2,8:50,10:50,2:00:00,855,1114.382751,0.95,120
3689,东方航空,2020/5/6,武汉天河国际机场T3,大连周水子国际机场,7:50,12:05,4:15:00,295,468.9908329,0.97,255
3697,南方航空,2020/5/3,武汉天河国际机场T3,广州白云国际机场T2,9:00,10:45,1:45:00,460,514.2604508,0.98,105
3698,南方航空,2020/5/3,武汉天河国际机场T3,广州白云国际机场T2,9:30,11:15,1:45:00,460,521.8339793,0.98,105
3699,南方航空,2020/5/4,武汉天河国际机场T3,海口美兰国际机场,7:45,12:00,4:15:00,400,492.8527673,0.95,255
3709,首都航空,2020/5/4,武汉天河国际机场T3,呼和浩特白塔国际机场,18:30,20:30,2:00:00,330,347.0114029,0.87,120
3714,东方航空,2020/5/5,武汉天河国际机场T3,柳州白莲机场,8:25,10:15,1:50:00,440,415.8096751,0.93,110
3719,南方航空,2020/5/3,武汉天河国际机场T3,宁波栎社国际机场T2,10:55,12:25,1:30:00,300,384.817526,0.93,90
3725,东方航空,2020/5/1,武汉天河国际机场T3,深圳宝安国际机场T3,7:40,9:40,2:00:00,420,539.0901532,0.98,120
3730,东方航空,2020/5/6,武汉天河国际机场T3,上海虹桥国际机场T2,8:50,10:15,1:25:00,355,331.1124731,0.98,85
3733,东方航空,2020/5/3,武汉天河国际机场T3,三亚凤凰国际机场T1,8:25,12:25,4:00:00,475,502.87867,0.93,240
3735,南方航空,2020/5/2,武汉天河国际机场T3,神农架红坪机场,9:55,11:10,1:15:00,240,600.6707686,0.89,75
3743,深圳航空,2020/7/4,武汉天河国际机场T3,太原武宿国际机场T1,21:10,23:00,1:50:00,510,701.4849312,0.93,110
3747,长龙航空,2020/5/4,武汉天河国际机场T3,温州龙湾国际机场T2,12:25,13:50,1:25:00,328,323.7333457,0.96070153,85
3752,中国国航,2020/5/13,武汉天河国际机场T3,烟台蓬莱国际机场,8:15,10:10,1:55:00,370,520.7521862,1,115
3754,南方航空,2020/5/7,武汉天河国际机场T3,珠海金湾机场,7:45,9:35,1:50:00,460,383.8043758,0.95,110
3755,南方航空,2020/5/2,武汉天河国际机场T3,珠海金湾机场,14:45,16:45,2:00:00,1190,564.1657285,0.89,120
3763,四川航空,2020/5/1,无锡苏南硕放国际机场T2,成都双流国际机场T1,10:30,13:25,2:55:00,1450,943.7207734,0.86,175
3771,四川航空,2020/7/9,无锡苏南硕放国际机场T2,重庆江北国际机场T2,10:45,13:25,2:40:00,1400,1465.668412,1,160
3777,东方航空,2020/5/1,无锡苏南硕放国际机场T2,重庆江北国际机场T3,14:10,16:45,2:35:00,625,837.1921388,1,155
3779,东方航空,2020/5/1,无锡苏南硕放国际机场T2,重庆江北国际机场T3,17:45,20:10,2:25:00,625,673.2618828,1,145
3789,中国国航,2020/5/1,无锡苏南硕放国际机场T2,广州白云国际机场T1,13:20,15:50,2:30:00,800,720.0941927,1,150
3795,昆明航空,2020/5/1,无锡苏南硕放国际机场T2,广州白云国际机场T1,14:30,17:10,2:40:00,649,686.0328371,1,160
3814,昆明航空,2020/5/1,无锡苏南硕放国际机场T2,沈阳桃仙国际机场T3,7:35,9:50,2:15:00,643,617.1654659,1,135
3824,中国国航,2020/5/1,无锡苏南硕放国际机场T2,深圳宝安国际机场T3,15:20,18:00,2:40:00,800,825.5993271,1,160
3827,华夏航空,2020/7/1,无锡苏南硕放国际机场T2,西安咸阳国际机场T3,7:00,9:15,2:15:00,1340,907.9300804,1,135
3828,华夏航空,2020/7/1,无锡苏南硕放国际机场T2,西安咸阳国际机场T3,7:00,9:25,2:25:00,1340,933.1284237,1,145
3831,中国国航,2020/5/1,无锡苏南硕放国际机场T2,西安咸阳国际机场T2,15:35,17:55,2:20:00,860,836.8725153,1,140
3840,东方航空,2020/5/3,无锡苏南硕放国际机场T2,银川河东国际机场,18:10,20:55,2:45:00,450,516.9322804,0.86,165
3848,海南航空,2020/5/7,乌海机场,北京首都国际机场T1,22:50,0:30,1:40:00,240,362.7085421,1,100
3849,华夏航空,2020/5/4,乌海机场,重庆江北国际机场T2A,19:50,22:00,2:10:00,200,407.4176892,0.96070153,130
3851,天津航空,2020/5/15,乌海机场,呼和浩特白塔国际机场,9:55,11:05,1:10:00,135,257.0446549,0.96070153,70
3852,华夏航空,2020/5/1,乌海机场,呼和浩特白塔国际机场,12:50,13:55,1:05:00,860,567.6177888,0.97,65
3856,天津航空,2020/5/2,乌海机场,呼和浩特白塔国际机场,17:00,18:10,1:10:00,140,340.606735,0.93,70
3857,天津航空,2020/5/12,乌海机场,呼和浩特白塔国际机场,20:40,21:50,1:10:00,135,322.4694261,0.98,70
3858,天津航空,2020/5/1,乌海机场,呼和浩特白塔国际机场,21:30,22:40,1:10:00,270,534.4647626,0.98,70
3860,东方航空,2020/5/9,乌海机场,上海虹桥国际机场T2,12:50,18:00,5:10:00,510,593.3821731,0.98,310
3861,东方航空,2020/5/9,乌海机场,上海虹桥国际机场T2,13:00,17:35,4:35:00,510,698.4693555,0.98,275
3864,天津航空,2020/5/9,乌海机场,西安咸阳国际机场T2,17:10,18:40,1:30:00,360,301.5166757,0.98,90
3872,长龙航空,2020/5/2,威海大水泊机场,杭州萧山国际机场T3,10:20,12:25,2:05:00,328,491.5419208,0.97,125
3873,长龙航空,2020/5/2,威海大水泊机场,杭州萧山国际机场T3,11:15,13:10,1:55:00,328,477.0089474,0.97,115
3880,东方航空,2020/5/3,威海大水泊机场,上海虹桥国际机场T2,15:25,17:20,1:55:00,690,439.5053278,0.97,115
3882,山东航空,2020/5/2,威海大水泊机场,深圳宝安国际机场T3,15:50,20:50,5:00:00,1100,1039.038667,1,300
3885,长龙航空,2020/5/5,威海大水泊机场,沈阳桃仙国际机场T3,17:15,18:35,1:20:00,278,313.6746737,1,80
3887,山东航空,2020/7/1,威海大水泊机场,天津滨海国际机场T2,19:35,21:00,1:25:00,690,749.0226562,0.9,85
3889,海南航空,2020/5/8,潍坊机场,深圳宝安国际机场T3,18:05,21:20,3:15:00,553,503.0713086,1,195
3894,中国国航,2020/5/1,万州五桥机场,广州白云国际机场T1,9:40,11:50,2:10:00,610,761.7243257,1,130
3896,多彩航空,2020/4/30,万州五桥机场,贵阳龙洞堡国际机场T1,22:35,23:55,1:20:00,306,439.7161253,1,80
3899,中国国航,2020/5/2,万州五桥机场,杭州萧山国际机场T1,21:05,23:35,2:30:00,700,516.2205521,0.98,150
3908,上海航空,2020/5/1,万州五桥机场,上海浦东国际机场T1,9:45,11:50,2:05:00,1290,943.6835412,0.93,125
3921,厦门航空,2020/5/1,万州五桥机场,西安咸阳国际机场T3,15:20,16:25,1:05:00,530,675.8004903,1,65
3923,厦门航空,2020/5/2,万州五桥机场,厦门高崎国际机场T3,19:50,22:15,2:25:00,680,569.9993134,1,145
3930,中国国航,2020/5/1,温州龙湾国际机场T2,北京首都国际机场T3,11:30,13:55,2:25:00,1620,781.9495309,0.97,145
3931,中国国航,2020/5/1,温州龙湾国际机场T2,北京首都国际机场T3,17:30,20:15,2:45:00,1180,740.2839841,0.86,165
3933,中国国航,2020/5/1,温州龙湾国际机场T2,重庆江北国际机场T3,7:30,10:20,2:50:00,760,1027.374371,0.98,170
3941,成都航空,2020/6/3,温州龙湾国际机场T2,成都双流国际机场T2,12:25,17:05,4:40:00,522,697.0061712,0.85,280
3948,桂林航空,2020/5/27,温州龙湾国际机场T2,长沙黄花国际机场,13:00,14:35,1:35:00,335,349.4046351,0.96070153,95
3955,上海航空,2020/5/3,温州龙湾国际机场T2,鄂尔多斯伊金霍洛机场,7:55,12:45,4:50:00,690,632.5029519,0.88,290
3960,昆明航空,2020/5/1,温州龙湾国际机场T2,广州白云国际机场T1,6:00,7:55,1:55:00,587,589.5432095,0.98,115
3964,深圳航空,2020/5/1,温州龙湾国际机场T2,广州白云国际机场T1,9:35,11:30,1:55:00,240,534.5724198,0.98,115
3965,中国国航,2020/5/1,温州龙湾国际机场T2,广州白云国际机场T1,9:40,11:45,2:05:00,640,602.1139525,0.98,125
3970,长龙航空,2020/5/4,温州龙湾国际机场T2,贵阳龙洞堡国际机场T2,7:15,9:45,2:30:00,330,389.7938357,0.98,150
3978,长龙航空,2020/5/3,温州龙湾国际机场T2,桂林两江国际机场T2,14:40,16:50,2:10:00,358,381.3124104,0.96070153,130
3990,中国国航,2020/5/1,温州龙湾国际机场T2,昆明长水国际机场,8:05,11:10,3:05:00,450,938.7001764,1,185
